,word,count,word_len,new_word
17354,jakartabased,1,12,jakarta based
17367,coproductions,2,13,co productions
17454,liverpudlians,1,13,liver pu d lian s
17462,flamethrower,1,12,flamethrower
17494,manufactured,2,12,manufactured
17547,illiberalism,1,12,il liberalism
17572,regeneration,1,12,regeneration
17575,rapidlyrising,1,13,rapidly rising
17617,underachievement,2,16,under achievement
17681,everexpanding,1,13,ever expanding
17703,consecutively,1,13,consecutively
17748,nigerianowned,1,13,nigerian owned
17791,peterborough,2,12,peterborough
17806,egyptianborn,1,12,egyptian born
17825,wigglesworth,2,12,wiggles worth
17838,dutchmoroccan,1,13,dutch moroccan
17851,mindnumbingly,1,13,mind numbing ly
17853,schizophrenic,2,13,schizophrenic
17855,reverberation,1,13,reverberation
17856,ekhayelitsha,2,12,ek haye lit sha
17905,healthrelated,2,13,health related
17910,groundstrokes,1,13,ground strokes
17913,platespinning,1,13,plate spinning
17932,magnificently,2,13,magnificently
17949,uncompromising,2,14,uncompromising
18033,multilateral,2,12,multilateral
18045,discriminated,1,13,discriminated
18055,fiveyeardeal,1,12,five year deal
18071,cashstrapped,2,12,cash strapped
18072,cleanburning,1,12,clean burning
18074,simpsondaniel,1,13,simpson daniel
18081,interrogator,1,12,interrogator
18089,courageously,2,12,courageously
18091,preoccupation,1,13,preoccupation
18095,restructuing,1,12,re struct u ing
18097,educationalist,2,14,education a list
18100,uninterested,1,12,uninterested
18128,courtimposed,1,12,court imposed
18156,winterbottom,2,12,winter bottom
18171,bestdesigned,1,12,best designed
18231,nipplebaring,1,12,nipple baring
18253,europeafrica,1,12,europe africa
18312,encouragement,1,13,encouragement
18341,rehabilitate,2,12,rehabilitate
18349,disheartened,1,12,disheartened
18352,honeymanscott,1,13,honey man scott
18362,authoritarian,2,13,authoritarian
18393,semimythical,1,12,semi mythical
18411,motioncontrol,1,13,motion control
18412,tsunamirelated,2,14,tsunami related
18445,untrammelled,1,12,un trammelled
18470,intermediary,2,12,intermediary
18473,liechtenstein,1,13,liechtenstein
18505,inventiveness,1,13,inventiveness
18542,frankenheimer,2,13,franken he i mer
18589,goodpractice,1,12,good practice
18603,insignificant,2,13,insignificant
18627,libertadores,1,12,libertadores
18656,prostitution,2,12,prostitution
18672,antieuropeans,1,13,anti europeans
18674,biblethumping,1,13,bible thumping
18709,sixkilometre,1,12,six kilometre
18710,moneyspinning,2,13,money spinning
18714,involvedthey,1,12,involved they
18744,paternalistic,1,13,paternalistic
18766,remotecontrol,1,13,remote control
18769,unscrupulous,2,12,unscrupulous
18775,noncommercial,2,13,noncommercial
18805,theirfamilies,1,13,their families
18841,inconspicuous,1,13,inconspicuous
18870,whistleblower,1,13,whistle blower
18879,straightsets,1,12,straight sets
18881,asylumseeking,2,13,asylum seeking
18913,screensavers,1,12,screen savers
18951,uncontrolled,2,12,uncontrolled
18955,washingtonbased,2,15,washington based
18957,affordability,1,13,afford ability
18969,embezzlement,1,12,embezzlement
18971,defibrillator,2,13,defibrillator
18982,atomstroieksport,2,16,atoms troi ek sport
18986,disintegrate,1,12,disintegrate
18991,silverbooted,1,12,silver booted
18995,spectacularly,2,13,spectacularly
19006,internazionale,2,14,internazionale
19045,reorganisation,2,14,reorganisation
19084,foreignowned,2,12,foreign owned
19137,nontechnical,2,12,nontechnical
19140,documentation,2,13,documentation
19142,unattractive,1,12,unattractive
19150,connectedness,1,13,connected ness
19188,guitartoting,1,12,guitar toting
19209,contaminationfree,2,17,contamination free
19230,selfassurance,1,13,self assurance
19318,inconceivable,1,13,inconceivable
19328,problematical,1,13,problematical
19379,prescription,2,12,prescription
19415,newlyfounded,1,12,newly founded
19444,justification,1,13,justification
19463,leadenfooted,1,12,leaden footed
19479,injuryplagued,1,13,injury plagued
19491,muchimproved,1,12,much improved
19495,stringfellow,2,12,stringfellow
19504,exceptionally,1,13,exceptionally
19507,passionately,1,12,passionately
19513,copyprotection,2,14,copy protection
19547,unseasonably,2,12,unseasonably
19632,manofthematch,1,13,man of the match
19640,distributing,1,12,distributing
19642,protestation,2,12,protestation
19667,extortionate,1,12,extortionate
19685,posttakeover,1,12,post takeover
19689,unreturnable,1,12,un returnable
19693,cyberathlete,1,12,cyberathlete
19703,counterstrike,1,13,counter strike
19707,sidescrolling,2,13,sidescrolling
19712,lowprevalence,1,13,low prevalence
19721,locationbased,1,13,location based
19772,gamebreakers,1,12,game breakers
19786,repercussion,1,12,repercussion
19822,injuryravaged,1,13,injury ravaged
19853,significance,2,12,significance
19885,nongovernment,1,13,non government
19915,encroachment,1,12,encroachment
19927,sowdentaylor,2,12,sow den taylor
19936,virginiabased,1,13,virginia based
19940,unfulfilling,2,12,un fulfilling
19944,semifinalist,1,12,semifinalist
19991,interoperability,2,16,interoperability
20066,postgraduate,1,12,postgraduate
20091,houstonbased,1,12,houston based
20096,irelandbased,1,12,ireland based
20136,asbestosrelated,2,15,asbestos related
20143,wwwarsenalcom,1,13,www arsenal com
20195,pianopounder,1,12,piano pounder
20201,newlycrowned,1,12,newly crowned
20208,commoditising,2,13,com mod it ising
20224,astonishingly,2,13,astonishingly
20263,antieuropean,1,12,anti european
20286,footballplaying,2,15,football playing
20318,protagonists,1,12,protagonists
20328,assertiveness,1,13,assertiveness
20385,preinstalled,1,12,pre installed
20394,maledominated,1,13,male dominated
20419,authenticorp,2,12,authentic or p
20421,overcapacity,2,12,over capacity
20422,titlewinning,1,12,title winning
20423,homelessness,1,12,homelessness
20451,inadmissible,1,12,inadmissible
20461,spontaneously,1,13,spontaneously
20462,wellorganised,1,13,well organised
20480,infiltration,1,12,infiltration
20488,fastestrising,1,13,fastest rising
20489,insurrection,1,12,insurrection
20528,preparations,1,12,preparations
20549,ridiculously,1,12,ridiculously
20551,anheuserbusch,1,13,anheuser busch
20555,pronunciation,1,13,pronunciation
20575,collaborative,1,13,collaborative
20604,quickestever,1,12,quickest ever
20630,konstantinos,1,12,konstantino s
20653,quickthinking,1,13,quick thinking
20753,pencepershare,1,13,pence per share
20773,stakeholders,1,12,stakeholders
20784,multipurpose,1,12,multipurpose
20786,subcontractor,2,13,subcontractor
20817,unsatisfying,1,12,unsatisfying
20820,satyanarayana,1,13,satya narayana
20823,interrogation,1,13,interrogation
20842,housebuilder,1,12,house builder
20860,brisbanebased,1,13,brisbane based
20865,underwhelming,1,13,under w hel ming
20893,fragmentation,2,13,fragmentation
20894,interamerican,2,13,inter american
20918,transitional,2,12,transitional
20937,kickstarting,1,12,kick starting
